location,size,total_sqft,bath,price,bhk,price_per_sqft
Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2,3699
Chikka Tirupathi,4 Bedroom,2600.0,5.0,120.0,4,4615
Uttarahalli,3 BHK,1440.0,2.0,62.0,3,4305
Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3,6245
Kothanur,2 BHK,1200.0,2.0,51.0,2,4250
Whitefield,2 BHK,1170.0,2.0,38.0,2,3247
Old Airport Road,4 BHK,2732.0,4.0,204.0,4,7467
Rajaji Nagar,4 BHK,3300.0,4.0,600.0,4,18181
Marathahalli,3 BHK,1310.0,3.0,63.25,3,4828
other,6 Bedroom,1020.0,6.0,370.0,6,36274
Whitefield,3 BHK,1800.0,2.0,70.0,3,3888
Whitefield,4 Bedroom,2785.0,5.0,295.0,4,10592
7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2,3800
Gottigere,2 BHK,1100.0,2.0,40.0,2,3636
Sarjapur,3 Bedroom,2250.0,3.0,148.0,3,6577
Mysore Road,2 BHK,1175.0,2.0,73.5,2,6255
Bisuvanahalli,3 BHK,1180.0,3.0,48.0,3,4067
Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,60.0,3,3896
other,3 BHK,2770.0,4.0,290.0,3,10469
other,2 BHK,1100.0,2.0,48.0,2,4363
Kengeri,1 BHK,600.0,1.0,15.0,1,2500
Binny Pete,3 BHK,1755.0,3.0,122.0,3,6951
Thanisandra,4 Bedroom,2800.0,5.0,380.0,4,13571
Bellandur,3 BHK,1767.0,3.0,103.0,3,5829
Thanisandra,1 RK,510.0,1.0,25.25,1,4950
other,3 BHK,1250.0,3.0,56.0,3,4480
Electronic City,2 BHK,660.0,1.0,23.1,2,3500
Whitefield,3 BHK,1610.0,3.0,81.0,3,5031
Ramagondanahalli,2 BHK,1151.0,2.0,48.77,2,4237
Electronic City,3 BHK,1025.0,2.0,47.0,3,4585
Yelahanka,4 BHK,2475.0,4.0,186.0,4,7515
Bisuvanahalli,3 BHK,1075.0,2.0,35.0,3,3255
Hebbal,3 BHK,1760.0,2.0,123.0,3,6988
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,57.39,3,3389
Kasturi Nagar,3 BHK,1925.0,3.0,125.0,3,6493
Kanakpura Road,2 BHK,700.0,2.0,36.0,2,5142
Electronics City Phase 1,2 BHK,1070.0,2.0,45.5,2,4252
Kundalahalli,3 BHK,1724.0,3.0,125.0,3,7250
Chikkalasandra,3 BHK,1290.0,2.0,56.12,3,4350
Uttarahalli,2 BHK,1143.0,2.0,45.0,2,3937
Murugeshpalya,2 BHK,1296.0,2.0,81.0,2,6250
Sarjapur  Road,3 BHK,1254.0,3.0,38.0,3,3030
other,1 BHK,600.0,1.0,38.0,1,6333
Yelahanka,1 Bedroom,660.0,1.0,48.0,1,7272
Kanakpura Road,2 BHK,1330.74,2.0,91.79,2,6897
HSR Layout,8 Bedroom,600.0,9.0,200.0,8,33333
Doddathoguru,2 BHK,970.0,2.0,33.0,2,3402
Whitefield,2 BHK,1459.0,2.0,94.82,2,6498
KR Puram,2 Bedroom,800.0,1.0,130.0,2,16250
other,2 BHK,869.0,2.0,36.0,2,4142
other,2 BHK,1270.0,2.0,50.0,2,3937
Bhoganhalli,3 BHK,1670.0,3.0,99.0,3,5928
Whitefield,3 BHK,2010.0,3.0,91.0,3,4527
Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2,6329
Yelahanka,3 BHK,1600.0,2.0,75.0,3,4687
Begur Road,2 BHK,1200.0,2.0,44.0,2,3666
other,2 BHK,1500.0,2.0,185.0,2,12333
Murugeshpalya,6 Bedroom,1407.0,4.0,150.0,6,10660
other,2 BHK,840.0,2.0,45.0,2,5357
other,3 Bedroom,4395.0,3.0,240.0,3,5460
other,2 BHK,845.0,2.0,55.0,2,6508
Whitefield,4 Bedroom,5700.0,5.0,650.0,4,11403
Varthur,2 BHK,1160.0,2.0,44.0,2,3793
Bommanahalli,8 Bedroom,3000.0,8.0,140.0,8,4666
Doddathoguru,2 BHK,1100.0,2.0,62.0,2,5636
Gunjur,2 BHK,1140.0,2.0,43.0,2,3771
Marathahalli,2 BHK,1220.0,2.0,57.0,2,4672
Devarachikkanahalli,8 Bedroom,1350.0,7.0,85.0,8,6296
Kanakpura Road,2 BHK,1005.0,2.0,36.68,2,3649
other,3 Bedroom,500.0,3.0,100.0,3,20000
Begur Road,2 BHK,1358.0,2.0,80.58,2,5933
Hegde Nagar,3 BHK,1569.0,3.0,101.0,3,6437
Haralur Road,2 BHK,1240.0,2.0,70.0,2,5645
Hennur Road,3 BHK,2089.0,3.0,140.0,3,6701
Kothannur,2 BHK,1206.0,2.0,48.23,2,3999
Kalena Agrahara,2 BHK,1150.0,2.0,40.0,2,3478
other,3 BHK,2511.0,3.0,205.0,3,8164
Kaval Byrasandra,2 BHK,460.0,1.0,22.0,2,4782
ISRO Layout,6 Bedroom,4400.0,6.0,250.0,6,5681
other,3 BHK,1660.0,2.0,105.0,3,6325
Yelahanka,2 BHK,1326.0,2.0,78.0,2,5882
Garudachar Palya,3 BHK,1325.0,2.0,60.8,3,4588
EPIP Zone,3 BHK,1499.0,5.0,102.0,3,6804
Hegde Nagar,6 Bedroom,3000.0,7.0,210.0,6,7000
Kanakpura Road,3 BHK,1665.0,3.0,88.0,3,5285
Dasanapura,2 BHK,708.0,2.0,37.0,2,5225
Kasavanhalli,2 BHK,1060.0,2.0,58.06,2,5477
Rajaji Nagar,6 Bedroom,710.0,6.0,160.0,6,22535
Sanjay nagar,2 BHK,1000.0,2.0,70.0,2,7000
Electronic City,2 BHK,1000.0,2.0,28.88,2,2888
other,3 BHK,1450.0,2.0,70.0,3,4827
ISRO Layout,4 Bedroom,1200.0,4.0,155.0,4,12916
Thanisandra,2 BHK,1296.0,2.0,80.0,2,6172
Domlur,3 BHK,1540.0,3.0,90.0,3,5844
Kengeri,4 Bedroom,2894.0,4.0,245.0,4,8465
Sarjapura - Attibele Road,3 BHK,1330.0,2.0,48.0,3,3609
other,2 BHK,1200.0,2.0,65.0,2,5416
other,3 Bedroom,1200.0,3.0,90.0,3,7500
Yeshwanthpur,3 BHK,2502.0,3.0,138.0,3,5515
Chandapura,2 BHK,650.0,1.0,17.0,2,2615
Kothanur,3 Bedroom,2400.0,2.0,150.0,3,6250
other,2 BHK,1007.0,2.0,43.0,2,4270
other,2 BHK,1200.0,2.0,50.0,2,4166
other,2 BHK,966.0,2.0,49.9,2,5165
Nagarbhavi,3 BHK,1630.0,2.0,98.0,3,6012
Rajaji Nagar,3 BHK,1640.0,3.0,229.0,3,13963
other,2 BHK,782.0,2.0,55.68,2,7120
Devanahalli,2 BHK,1260.0,2.0,66.78,2,5300
other,3 BHK,1800.0,3.0,120.0,3,6666
other,3 BHK,1413.0,2.0,75.0,3,5307
Whitefield,2 BHK,1116.0,2.0,51.91,2,4651
Electronic City,3 BHK,1530.0,2.0,45.9,3,3000
Ramamurthy Nagar,4 Bedroom,3700.0,4.0,225.0,4,6081
Sarjapur  Road,3 Bedroom,2497.0,3.0,140.0,3,5606
Kengeri,3 BHK,1540.0,2.0,64.0,3,4155
Thanisandra,3 BHK,1436.0,3.0,74.75,3,5205
Malleshwaram,2 BHK,1100.0,2.0,75.0,2,6818
Hennur Road,2 Bedroom,276.0,3.0,23.0,2,8333
Thanisandra,3 BHK,1427.0,3.0,120.0,3,8409
Akshaya Nagar,3 BHK,2061.0,3.0,200.0,3,9704
Hebbal,4 BHK,5611.5,4.0,477.0,4,8500
Shampura,4 BHK,2650.0,4.0,150.0,4,5660
Devanahalli,3 BHK,1282.0,2.0,68.52,3,5344
Kadugodi,2 BHK,1050.0,2.0,34.0,2,3238
LB Shastri Nagar,3 BHK,1600.0,3.0,65.0,3,4062
other,2 BHK,945.0,2.0,54.0,2,5714
Hormavu,2 BHK,1500.0,2.0,78.0,2,5200
Vishwapriya Layout,7 Bedroom,950.0,7.0,115.0,7,12105
other,3 BHK,1870.0,3.0,110.0,3,5882
Sarjapur,3 Bedroom,1600.0,3.0,75.0,3,4687
Electronic City,2 BHK,880.0,1.0,16.5,2,1875
other,4 Bedroom,1200.0,4.0,210.0,4,17500
Kudlu Gate,3 BHK,1535.0,3.0,83.0,3,5407
Kanakpura Road,2 BHK,950.0,2.0,57.0,2,6000
Devanahalli,2 BHK,1360.0,2.0,65.0,2,4779
8th Phase JP Nagar,2 BHK,1073.5,2.0,54.005,2,5030
Bommasandra Industrial Area,3 BHK,1280.0,3.0,50.4,3,3937
other,3 BHK,1260.0,2.0,85.05,3,6750
Hennur Road,8 Bedroom,5000.0,8.0,250.0,8,5000
Yelahanka,5 BHK,3050.0,5.0,213.0,5,6983
Kasavanhalli,3 BHK,1563.05,3.0,105.0,3,6717
ISRO Layout,2 BHK,1000.0,2.0,60.0,2,6000
Anandapura,2 BHK,1167.0,2.0,43.76,2,3749
Vishveshwarya Layout,7 BHK,4000.0,7.0,225.0,7,5625
Kothanur,3 BHK,1828.0,3.0,110.0,3,6017
Kengeri Satellite Town,2 BHK,890.0,2.0,35.0,2,3932
other,3 BHK,1612.0,3.0,46.74,3,2899
other,6 Bedroom,1034.0,5.0,185.0,6,17891
Mysore Road,3 BHK,1710.0,4.0,91.31,3,5339
Kannamangala,2 BHK,957.0,2.0,58.0,2,6060
Devarachikkanahalli,3 BHK,1250.0,2.0,44.0,3,3520
other,3 BHK,2795.0,4.0,235.0,3,8407
Hulimavu,2 BHK,1125.0,2.0,50.0,2,4444
Electronic City Phase II,2 BHK,1020.0,2.0,30.6,2,3000
Kalena Agrahara,2 BHK,1200.0,2.0,50.0,2,4166
Thanisandra,3 BHK,1735.0,3.0,135.0,3,7780
Thanisandra,3 BHK,2050.0,3.0,145.0,3,7073
Mahalakshmi Layout,4 Bedroom,3750.0,4.0,760.0,4,20266
other,3 BHK,1350.0,2.0,48.0,3,3555
Hosa Road,2 BHK,1063.0,2.0,32.0,2,3010
other,3 BHK,1904.0,3.0,150.0,3,7878
Whitefield,4 Bedroom,4200.0,4.0,420.0,4,10000
other,3 BHK,2000.0,3.0,175.0,3,8750
Sarjapur,2 BHK,1242.5,2.0,43.49,2,3500
other,3 BHK,1425.0,2.0,75.0,3,5263
Electronic City,3 BHK,1500.0,2.0,64.5,3,4300
Electronic City,2 BHK,1060.0,2.0,60.0,2,5660
other,3 BHK,1470.0,2.0,70.0,3,4761
other,6 BHK,1300.0,6.0,99.0,6,7615
Attibele,1 BHK,450.0,1.0,11.0,1,2444
Electronic City,2 BHK,1152.0,2.0,64.5,2,5598
Electronic City,3 BHK,1350.0,2.0,56.0,3,4148
CV Raman Nagar,3 BHK,1550.0,3.0,65.0,3,4193
other,3 Bedroom,1500.0,3.0,100.0,3,6666
Kumaraswami Layout,5 Bedroom,600.0,3.0,85.0,5,14166
Nagavara,1 Bedroom,400.0,1.0,14.0,1,3500
Malleshwaram,1 BHK,705.0,1.0,67.0,1,9503
Electronic City,2 BHK,770.0,1.0,36.0,2,4675
Hulimavu,2 BHK,1242.0,2.0,51.0,2,4106
Hebbal Kempapura,3 BHK,1700.0,3.0,155.0,3,9117
Thanisandra,3 BHK,2144.0,3.0,145.0,3,6763
Vijayanagar,3 BHK,1704.0,3.0,110.0,3,6455
Electronic City,2 BHK,1070.0,2.0,52.0,2,4859
other,3 Bedroom,1846.0,3.0,300.0,3,16251
other,2 BHK,1340.0,2.0,55.7,2,4156
Electronic City,2 BHK,1025.0,2.0,46.0,2,4487
